,Regency_Code,Regency,Padi,Year
196,3208,KUNINGAN,332462.0,2020
197,3209,CIREBON,506027.0,2020
198,3210,MAJALENGKA,612795.0,2020
199,3211,SUMEDANG,425506.0,2020
200,3212,INDRAMAYU,1345271.0,2020
201,3213,SUBANG,1016605.0,2020
202,3214,PURWAKARTA,209408.0,2020
203,3215,KARAWANG,1036257.0,2020
204,3216,BEKASI,203494.0,2020
205,3217,BANDUNG BARAT,263789.0,2020
206,3218,PANGANDARAN,161427.0,2020
